date,US_bonds_11,US_bonds_12,US_bonds_13,US_bonds_14,US_bonds_15,US_bonds_16,US_bonds_17,US_bonds_18,US_bonds_19,US_bonds_20
Feb-73,-0.006811416,-0.00837882,-0.006639219,-0.006676916,-0.008042194,-0.007612427,-0.007403166,-0.004117644,-0.000438158,0.01262149
Mar-73,-0.011221339,-0.014589125,-0.011250288,-0.011780634,-0.011272249,-0.011481953,-0.010400358,-0.007937167,-0.00496181,0.005968772
Apr-73,-0.003491308,-0.00608544,-0.004059991,-0.001888457,-0.001566329,-0.00087636,0.003144542,0.006267313,0.010586842,0.010089211
May-73,-0.009497349,-0.014212418,-0.015822853,-0.015384189,-0.015679859,-0.014288242,-0.013841917,-0.009713131,-0.010787565,-0.021347442
Jun-73,-0.011599108,-0.015168123,-0.020522781,-0.023017937,-0.025620564,-0.025143022,-0.024735983,-0.019615415,-0.016945827,0.001997483
Jul-73,-0.037972466,-0.045919974,-0.047677703,-0.043256984,-0.045122731,-0.045898446,-0.04334262,-0.043841959,-0.03812143,-0.016602164
Aug-73,0.012257411,0.023537076,0.022829776,0.027703361,0.021552478,0.0202502,0.011079652,0.010892869,0.013435263,0.024694012
Sep-73,0.002758897,0.010575065,0.014169773,0.015670845,0.015793067,0.02002454,0.019629193,0.02430808,0.028276261,0.03573483
Oct-73,-0.010793383,-0.014527602,-0.018966313,-0.0186391,-0.016698824,-0.018277929,-0.019815048,-0.016721068,-0.010776117,0.011598779
Nov-73,0.007401827,0.002772497,0.002926094,0.000986866,-0.001429465,-0.0004281,-0.00720756,-0.006655869,-0.000141868,0.016190269
Dec-73,-0.017500365,-0.019996293,-0.019903623,-0.018283831,-0.02358252,-0.023596969,-0.026489343,-0.025494417,-0.018747663,-0.008186297
Jan-74,-0.006064465,-0.001091748,-0.004563178,-0.005549405,-0.005386513,-0.00770791,-0.012279184,-0.013962463,-0.008820728,-0.001003522
Feb-74,-0.006536841,-0.005689445,-0.005839358,-0.005339352,-0.004580771,-0.006235005,-0.005757838,-0.000991538,0.006264408,0.016801057
Mar-74,-0.031744219,-0.03893637,-0.038807664,-0.039034673,-0.04018845,-0.046032837,-0.047650407,-0.047275536,-0.035697628,-0.021001354
Apr-74,-0.027298883,-0.028274964,-0.031332944,-0.03747827,-0.039286902,-0.041205613,-0.049644555,-0.056120201,-0.052604155,-0.06151351
May-74,-0.00044717,-0.000525792,-0.003733509,-0.005527228,-0.007102955,-0.007831492,-0.009371751,-0.011152561,-0.005585108,0.005170809
Jun-74,-0.028893422,-0.039714143,-0.051747533,-0.053171634,-0.05738711,-0.05855115,-0.060482479,-0.061726841,-0.078007281,-0.077282444
Jul-74,-0.018870191,-0.014750265,-0.011206477,-0.011899738,-0.013259503,-0.016928706,-0.019004623,-0.020947068,-0.007469924,-0.00093161
Aug-74,-0.027007681,-0.029106601,-0.026900586,-0.028653184,-0.02975291,-0.031049683,-0.033873835,-0.037137793,-0.055961589,-0.032417946
Sep-74,0.005409647,0.009025421,0.010106389,0.009392418,0.007708265,0.006495589,0.001568457,-0.004579958,0.014285459,0.020505831
Oct-74,0.051890578,0.050883092,0.063464187,0.060737847,0.070289978,0.062140346,0.047951687,0.037539213,0.047158465,0.078476232
Nov-74,0.005132627,-0.007074252,-0.002730336,-0.006977563,-0.008720204,-0.016047412,-0.015122258,-0.010044944,0.019632339,0.021388729
Dec-74,0.002794502,-0.003726086,-0.007853003,-0.007471039,-0.00982767,-0.009331956,-0.011109069,-0.013082976,-0.015943725,-0.005283109
Jan-75,0.021191851,0.038866496,0.05146529,0.055618553,0.05607355,0.071712993,0.070160949,0.072786643,0.095266027,0.128509253
Feb-75,0.007187382,0.00508648,0.007231487,0.011146683,0.012898941,0.019748715,0.022129777,0.020525185,0.027310206,0.015157798
Mar-75,-0.02538851,-0.02990466,-0.03419392,-0.036248896,-0.036340866,-0.039328667,-0.039143039,-0.034961438,-0.023420685,-0.037769693
Apr-75,-0.029767703,-0.026025404,-0.021819174,-0.016934168,-0.019175732,-0.016290612,-0.014123833,-0.01666182,-0.013481667,0.015848431
May-75,0.007029428,0.001031574,0.007023668,0.012477228,0.012729366,0.020936923,0.028524601,0.029813365,0.036558771,0.057756167
Jun-75,0.004419186,0.001186639,0.01004894,0.013210213,0.014037982,0.021740836,0.026829163,0.0316929,0.044338781,0.079032923
Jul-75,-0.024348887,-0.018763755,-0.015253132,-0.012114094,-0.010181122,-0.010371191,-0.005815287,-0.005183367,-0.00230923,0.012557697
Aug-75,-0.015549531,-0.016929275,-0.006622049,-0.011347944,-0.01143166,-0.014078277,-0.019114008,-0.024864207,-0.023444933,-0.025357285
Sep-75,-0.03421515,-0.033535265,-0.03678981,-0.040110924,-0.038071992,-0.031751511,-0.021995369,-0.017134886,-0.017415209,0.006313559
Oct-75,0.014163529,0.027802951,0.027439215,0.032123907,0.037454329,0.039386677,0.040896824,0.03431213,0.033962564,0.048043422
Nov-75,-0.018686389,-0.020236872,-0.02068488,-0.017482858,-0.014771972,-0.012133767,-0.006332101,-0.000279993,0.006706468,0.06979101
Dec-75,0.007815829,0.016068053,0.016408067,0.022618771,0.019869343,0.027408453,0.027913692,0.022957113,0.024047311,0.029004494
Jan-76,0.000872239,0.00401079,0.010665508,0.018101409,0.026744895,0.034855578,0.03360935,0.034648304,0.042912408,0.036621306
Feb-76,-0.011178573,-0.007735633,-0.006285739,-0.001004398,0.00263765,0.007954754,0.010267373,0.013349704,0.016247483,0.045997303
Mar-76,-0.00269624,-0.005298664,-0.003976849,0.001197632,0.001337131,0.004204817,0.007497166,0.008466963,0.010149111,0.028194547
Apr-76,-0.007557164,-0.006774394,-0.006599757,-0.005272886,-0.002960473,0.000543034,0.003578175,0.006732402,0.011669609,0.034408278
May-76,-0.02568019,-0.023996655,-0.022809685,-0.020184162,-0.017676517,-0.014524793,-0.012806732,-0.014434044,-0.011713306,0.01273741
Jun-76,-0.002842678,-9.16E-05,-0.001585443,0.000604028,0.00373886,0.006044482,0.008316212,0.008770862,0.010484907,0.026182654
Jul-76,0.001042595,-0.004318021,-0.002725295,0.001470163,0.005280564,0.008570037,0.009852619,0.008796292,0.01130726,0.028979678
Aug-76,0.00014833,0.002703767,0.007101377,0.010807406,0.013622043,0.016470692,0.018590593,0.019850784,0.022586811,0.02770361
Sep-76,0.000771539,0.001401645,0.001136908,0.005715197,0.010470987,0.009522802,0.014710095,0.018636183,0.018327813,0.027010531
Oct-76,0.001021018,0.002389513,0.002243551,0.002434936,0.002772879,0.004920699,0.005669931,0.007134137,0.009548493,0.024170601
Nov-76,0.017104143,0.01830632,0.014681343,0.014514075,0.016921564,0.018237866,0.01796398,0.017248858,0.018097107,0.024965246
Dec-76,0.020666377,0.02186103,0.023085769,0.021414105,0.021773119,0.021549998,0.022685596,0.020004074,0.019820059,0.076388709
Jan-77,-0.032708256,-0.034267596,-0.03500072,-0.033793816,-0.030131988,-0.023630309,-0.017288887,-0.012618948,-0.002836639,0.015807607
Feb-77,-0.006812127,-0.009327575,-0.010017737,-0.005793632,-0.003498659,-0.001718761,0.00226148,0.006420359,0.009478145,0.016517592
Mar-77,-0.0023683,1.33E-05,-0.001981862,-0.000859875,0.001293182,0.002390095,0.00422614,0.003284164,0.005760203,0.013377417
Apr-77,-0.000887775,0.000123936,-0.000373567,0.002328817,0.004909112,0.006089774,0.006540004,0.007574992,0.011418872,0.017088012
May-77,-0.006019894,-0.004435554,-0.004343337,-0.001186619,0.0025573,0.003164632,0.005239446,0.006635564,0.009625187,0.016584123
Jun-77,0.001068412,0.002486909,0.001236861,0.005460515,0.009572428,0.011527674,0.013875495,0.017490537,0.021015182,0.032771651
Jul-77,-0.015781826,-0.01322479,-0.009107006,-0.005538023,-0.001671915,0.001618014,0.003232099,0.005948622,0.009170819,0.014737079
Aug-77,-0.009190643,-0.006985912,-0.006646934,-0.002741356,0.001922592,0.002726371,0.005078761,0.007278717,0.009872164,0.013037473
Sep-77,-0.01254444,-0.011353273,-0.014235151,-0.012368951,-0.010357488,-0.008812625,-0.005612241,-0.003608088,0.002955619,0.008558101
Oct-77,-0.021192315,-0.018540154,-0.022091069,-0.018989166,-0.014172393,-0.010939672,-0.009298619,-0.007443785,-0.001570092,0.011871128
Nov-77,-0.006600084,-0.005774204,-0.008013804,-0.005845923,-0.002028099,0.001079011,0.003050295,0.004621137,0.009957076,0.021104696
Dec-77,-0.01799914,-0.016660187,-0.019819552,-0.017259263,-0.014741534,-0.013696994,-0.012627041,-0.009928588,-0.004657748,0.009681487
Jan-78,-0.022966491,-0.01999685,-0.022931293,-0.019550566,-0.015849017,-0.013223856,-0.010007024,-0.005880018,-0.001140529,0.013292138
Feb-78,-0.018507507,-0.012175521,-0.010786005,-0.00756976,-0.005567353,-0.00151696,0.000330901,0.003146765,0.005561579,0.0158915
