Date,M01,M03,M06,Y01,Y02,Y03,Y05,Y07,Y10,Y20,Y30
1953/4/1,,,,2.36,,2.51,2.62,,2.83,3.08,
1953/5/1,,,,2.48,,2.72,2.87,,3.05,3.18,
1953/6/1,,,,2.45,,2.74,2.94,,3.11,3.21,
1953/7/1,,,,2.38,,2.62,2.75,,2.93,3.12,
1953/8/1,,,,2.28,,2.58,2.8,,2.95,3.1,
1953/9/1,,,,2.2,,2.56,2.71,,2.87,3.07,
1953/10/1,,,,1.79,,2.23,2.43,,2.66,2.95,
1953/11/1,,,,1.67,,2.2,2.42,,2.68,2.95,
1953/12/1,,,,1.66,,2.07,2.32,,2.59,2.89,
1954/1/1,,,,1.41,,1.89,2.17,,2.48,2.8,
1954/2/1,,,,1.14,,1.63,2.04,,2.47,2.72,
1954/3/1,,,,1.13,,1.59,1.93,,2.37,2.61,
1954/4/1,,,,0.96,,1.54,1.87,,2.29,2.6,
1954/5/1,,,,0.85,,1.56,1.92,,2.37,2.66,
1954/6/1,,,,0.82,,1.53,1.92,,2.38,2.64,
1954/7/1,,,,0.84,,1.47,1.85,,2.3,2.57,
1954/8/1,,,,0.88,,1.49,1.9,,2.36,2.58,
1954/9/1,,,,1.03,,1.6,1.96,,2.38,2.6,
1954/10/1,,,,1.17,,1.72,2.02,,2.43,2.61,
1954/11/1,,,,1.14,,1.75,2.09,,2.48,2.65,
1954/12/1,,,,1.21,,1.81,2.16,,2.51,2.67,
1955/1/1,,,,1.39,,1.99,2.32,,2.61,2.75,
1955/2/1,,,,1.57,,2.12,2.38,,2.65,2.83,
1955/3/1,,,,1.59,,2.26,2.48,,2.68,2.84,
1955/4/1,,,,1.75,,2.37,2.55,,2.75,2.85,
1955/5/1,,,,1.9,,2.37,2.56,,2.76,2.87,
1955/6/1,,,,1.91,,2.39,2.59,,2.78,2.86,
1955/7/1,,,,2.02,,2.51,2.72,,2.9,2.94,
1955/8/1,,,,2.37,,2.72,2.86,,2.97,3.01,
1955/9/1,,,,2.36,,2.69,2.85,,2.97,3,
1955/10/1,,,,2.39,,2.62,2.76,,2.88,2.93,
1955/11/1,,,,2.48,,2.73,2.81,,2.89,2.93,
1955/12/1,,,,2.73,,2.88,2.93,,2.96,2.98,
1956/1/1,,,,2.58,,2.78,2.84,,2.9,2.94,
1956/2/1,,,,2.49,,2.67,2.74,,2.84,2.91,
1956/3/1,,,,2.61,,2.89,2.93,,2.96,2.99,
1956/4/1,,,,2.92,,3.19,3.2,,3.18,3.14,
1956/5/1,,,,2.94,,3.08,3.08,,3.07,3.06,
1956/6/1,,,,2.74,,2.95,2.97,,3,3,
1956/7/1,,,,2.76,,3.06,3.12,,3.11,3.08,
1956/8/1,,,,3.1,,3.39,3.41,,3.33,3.22,
1956/9/1,,,,3.35,,3.5,3.47,,3.38,3.28,
1956/10/1,,,,3.28,,3.4,3.4,,3.34,3.26,
1956/11/1,,,,3.44,,3.57,3.56,,3.49,3.37,
1956/12/1,,,,3.68,,3.76,3.7,,3.59,3.45,
1957/1/1,,,,3.37,,3.46,3.47,,3.46,3.41,
1957/2/1,,,,3.38,,3.42,3.39,,3.34,3.3,
1957/3/1,,,,3.42,,3.47,3.46,,3.41,3.32,
1957/4/1,,,,3.49,,3.53,3.53,,3.48,3.4,
1957/5/1,,,,3.48,,3.61,3.64,,3.6,3.49,
1957/6/1,,,,3.65,,3.8,3.83,,3.8,3.65,
1957/7/1,,,,3.81,,3.96,4,,3.93,3.72,
1957/8/1,,,,4.01,,4.02,4,,3.93,3.75,
1957/9/1,,,,4.07,,4.06,4.03,,3.92,3.73,
1957/10/1,,,,4.01,,4.09,4.08,,3.97,3.76,
1957/11/1,,,,3.57,,3.7,3.72,,3.72,3.61,
1957/12/1,,,,3.18,,3.11,3.08,,3.21,3.38,
1958/1/1,,,,2.65,,2.78,2.88,,3.09,3.27,
1958/2/1,,,,1.99,,2.58,2.78,,3.05,3.31,
1958/3/1,,,,1.84,,2.4,2.64,,2.98,3.29,
1958/4/1,,,,1.45,,2.15,2.46,,2.88,3.17,
1958/5/1,,,,1.37,,2.07,2.41,,2.92,3.17,
1958/6/1,,,,1.23,,2.08,2.46,,2.97,3.23,
1958/7/1,,,,1.61,,2.42,2.77,,3.2,3.39,
1958/8/1,,,,2.5,,3.06,3.29,,3.54,3.65,
1958/9/1,,,,3.05,,3.52,3.69,,3.76,3.8,
1958/10/1,,,,3.19,,3.67,3.78,,3.8,3.81,
1958/11/1,,,,3.1,,3.6,3.7,,3.74,3.76,
1958/12/1,,,,3.29,,3.72,3.82,,3.86,3.86,
1959/1/1,,,,3.36,,3.91,4.01,,4.02,3.95,
1959/2/1,,,,3.54,,3.92,3.96,,3.96,3.96,
1959/3/1,,,,3.61,,3.97,3.99,,3.99,3.99,
1959/4/1,,,,3.72,,4.03,4.12,,4.12,4.06,
1959/5/1,,,,3.96,,4.25,4.35,,4.31,4.13,
1959/6/1,,,,4.07,,4.52,4.5,,4.34,4.14,
1959/7/1,,,,4.39,,4.6,4.58,,4.4,4.16,
1959/8/1,,,,4.42,,4.6,4.57,,4.43,4.15,
1959/9/1,,,,5,,4.97,4.9,,4.68,4.29,
1959/10/1,,,,4.8,,4.78,4.72,,4.53,4.19,
1959/11/1,,,,4.81,,4.85,4.75,,4.53,4.2,
1959/12/1,,,,5.14,,5.12,5.01,,4.69,4.33,
1960/1/1,,,,5.03,,4.99,4.92,,4.72,4.42,
1960/2/1,,,,4.66,,4.73,4.69,,4.49,4.28,
1960/3/1,,,,4.02,,4.29,4.31,,4.25,4.14,
1960/4/1,,,,4.04,,4.27,4.29,,4.28,4.23,
1960/5/1,,,,4.21,,4.46,4.49,,4.35,4.2,
1960/6/1,,,,3.36,,4.01,4.12,,4.15,4.04,
1960/7/1,,,,3.2,,3.63,3.79,,3.9,3.91,
1960/8/1,,,,2.95,,3.41,3.62,,3.8,3.84,
1960/9/1,,,,3.07,,3.43,3.61,,3.8,3.86,
1960/10/1,,,,3.04,,3.53,3.76,,3.89,3.92,
1960/11/1,,,,3.08,,3.6,3.81,,3.93,3.96,
1960/12/1,,,,2.86,,3.42,3.67,,3.84,3.91,
1961/1/1,,,,2.81,,3.39,3.67,,3.84,3.9,
1961/2/1,,,,2.93,,3.46,3.66,,3.78,3.84,
1961/3/1,,,,2.88,,3.35,3.6,,3.74,3.81,
1961/4/1,,,,2.88,,3.33,3.57,,3.78,3.81,
1961/5/1,,,,2.87,,3.23,3.47,,3.71,3.74,
1961/6/1,,,,3.06,,3.63,3.81,,3.88,3.89,
1961/7/1,,,,2.92,,3.59,3.84,,3.92,3.93,
1961/8/1,,,,3.06,,3.76,3.96,,4.04,4.04,
1961/9/1,,,,3.06,,3.73,3.9,,3.98,4.04,
1961/10/1,,,,3.05,,3.62,3.8,,3.92,4.01,
1961/11/1,,,,3.07,,3.61,3.82,,3.94,4,
1961/12/1,,,,3.18,,3.72,3.91,,4.06,4.07,
1962/1/1,,,,3.28,,3.76,3.94,,4.08,4.1,
1962/2/1,,,,3.28,,3.69,3.89,,4.04,4.12,
1962/3/1,,,,3.06,,3.45,3.68,,3.93,4.04,
1962/4/1,,,,2.99,,3.38,3.6,,3.84,3.93,
1962/5/1,,,,3.03,,3.4,3.66,,3.87,3.92,
1962/6/1,,,,3.03,,3.39,3.64,,3.91,3.96,
1962/7/1,,,,3.29,,3.62,3.8,,4.01,4.05,
1962/8/1,,,,3.2,,3.46,3.71,,3.98,4.01,
1962/9/1,,,,3.06,,3.41,3.7,,3.98,4,
1962/10/1,,,,2.98,,3.33,3.64,,3.93,3.94,
1962/11/1,,,,3,,3.4,3.6,,3.92,3.93,
1962/12/1,,,,3.01,,3.37,3.56,,3.86,3.92,
1963/1/1,,,,3.04,,3.4,3.58,,3.83,3.94,
1963/2/1,,,,3.01,,3.39,3.66,,3.92,3.97,
1963/3/1,,,,3.03,,3.41,3.68,,3.93,3.98,
1963/4/1,,,,3.11,,3.5,3.74,,3.97,4.03,
1963/5/1,,,,3.12,,3.54,3.72,,3.93,4.02,
1963/6/1,,,,3.2,,3.61,3.81,,3.99,4.02,
1963/7/1,,,,3.48,,3.76,3.89,,4.02,4.06,
1963/8/1,,,,3.53,,3.77,3.89,,4,4.03,
1963/9/1,,,,3.57,,3.82,3.96,,4.08,4.09,
1963/10/1,,,,3.64,,3.87,3.97,,4.11,4.12,
1963/11/1,,,,3.74,,3.95,4.01,,4.12,4.16,
1963/12/1,,,,3.81,,4.01,4.04,,4.13,4.19,
1964/1/1,,,,3.79,,4.04,4.07,,4.17,4.19,
1964/2/1,,,,3.78,,4,4.03,,4.15,4.17,
1964/3/1,,,,3.91,,4.12,4.14,,4.22,4.22,
1964/4/1,,,,3.91,,4.15,4.15,,4.23,4.24,
1964/5/1,,,,3.84,,4.04,4.05,,4.2,4.2,
1964/6/1,,,,3.83,,4.01,4.02,,4.17,4.17,
1964/7/1,,,,3.72,,3.93,4.03,,4.19,4.16,
1964/8/1,,,,3.74,,3.93,4.05,,4.19,4.18,
1964/9/1,,,,3.84,,4.01,4.08,,4.2,4.2,
1964/10/1,,,,3.86,,4.02,4.07,,4.19,4.2,
1964/11/1,,,,3.91,,4.04,4.04,,4.15,4.17,
1964/12/1,,,,4.02,,4.08,4.09,,4.18,4.18,
1965/1/1,,,,3.94,,4.03,4.1,,4.19,4.19,
1965/2/1,,,,4.03,,4.08,4.15,,4.21,4.21,
1965/3/1,,,,4.06,,4.13,4.15,,4.21,4.2,
1965/4/1,,,,4.04,,4.12,4.15,,4.2,4.2,
1965/5/1,,,,4.03,,4.11,4.15,,4.21,4.21,
1965/6/1,,,,3.99,,4.08,4.15,,4.21,4.21,
1965/7/1,,,,3.98,,4.09,4.15,,4.2,4.21,
1965/8/1,,,,4.07,,4.16,4.2,,4.25,4.25,
1965/9/1,,,,4.2,,4.24,4.25,,4.29,4.3,
1965/10/1,,,,4.3,,4.33,4.34,,4.35,4.32,
1965/11/1,,,,4.37,,4.45,4.46,,4.45,4.4,
1965/12/1,,,,4.72,,4.79,4.72,,4.62,4.5,
1966/1/1,,,,4.88,,4.9,4.86,,4.61,4.52,
1966/2/1,,,,4.94,,5.02,4.98,,4.83,4.71,
1966/3/1,,,,4.97,,4.97,4.92,,4.87,4.72,
1966/4/1,,,,4.9,,4.89,4.83,,4.75,4.65,
1966/5/1,,,,4.93,,5,4.89,,4.78,4.69,
1966/6/1,,,,4.97,,5.05,4.97,,4.81,4.73,
1966/7/1,,,,5.17,,5.26,5.17,,5.02,4.84,
1966/8/1,,,,5.54,,5.68,5.5,,5.22,4.95,
